file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.010_1831.out,MNIST,prune_0.1,90,0.01,abc,31,0
MNIST_0.008_2865.out,MNIST,prune_0.2,90,0.008,abc,65,0
MNIST_0.005_888.out,MNIST,baseline,90,0.005,abc,88,1
MNIST_0.007_8086.out,MNIST,prune_0.8,10,0.007,abc,86,1
MNIST_0.009_4020.out,MNIST,prune_0.4,10,0.009,abc,20,0
MNIST_0.010_654.out,MNIST,baseline,70,0.01,abc,54,0
MNIST_0.009_27.out,MNIST,baseline,10,0.009,abc,27,1
MNIST_0.010_5078.out,,,,,,,0
MNIST_0.006_330.out,MNIST,baseline,40,0.006,abc,30,1
MNIST_0.007_5872.out,MNIST,prune_0.5,90,0.007,abc,72,1
MNIST_0.004_7383.out,MNIST,prune_0.7,40,0.004,abc,83,1
MNIST_0.008_1606.out,MNIST,prune_0.1,70,0.008,abc,6,0
MNIST_0.008_7081.out,MNIST,prune_0.7,10,0.008,abc,81,0
MNIST_0.004_7116.out,MNIST,prune_0.7,20,0.004,abc,16,1
MNIST_0.009_7176.out,MNIST,prune_0.7,20,0.009,abc,76,0
MNIST_0.007_7689.out,MNIST,prune_0.7,70,0.007,abc,89,0
MNIST_0.004_8699.out,MNIST,prune_0.8,70,0.004,abc,99,1
MNIST_0.009_1347.out,MNIST,prune_0.1,40,0.009,abc,47,0
MNIST_0.005_6452.out,MNIST,prune_0.6,50,0.005,abc,52,1
MNIST_0.008_4164.out,MNIST,prune_0.4,20,0.008,abc,64,0
MNIST_0.009_2903.out,MNIST,prune_0.2,100,0.009,abc,3,0
MNIST_0.004_3897.out,MNIST,prune_0.3,90,0.004,abc,97,1
MNIST_0.010_4075.out,,,,,,,0
MNIST_0.008_3910.out,MNIST,prune_0.3,100,0.008,abc,10,1
MNIST_0.010_8276.out,,,,,,,0
MNIST_0.009_3011.out,MNIST,prune_0.3,10,0.009,abc,11,0
MNIST_0.009_1826.out,MNIST,prune_0.1,90,0.009,abc,26,0
MNIST_0.010_2677.out,,,,,,,0
MNIST_0.008_6664.out,MNIST,prune_0.6,70,0.008,abc,64,0
MNIST_0.005_8954.out,MNIST,prune_0.8,100,0.005,abc,54,1
MNIST_0.008_6916.out,MNIST,prune_0.6,100,0.008,abc,16,0
MNIST_0.004_8550.out,MNIST,prune_0.8,60,0.004,abc,50,1
MNIST_0.004_1964.out,MNIST,prune_0.1,100,0.004,abc,64,1
MNIST_0.009_8041.out,MNIST,prune_0.8,10,0.009,abc,41,0
MNIST_0.009_5989.out,MNIST,prune_0.5,100,0.009,abc,89,0
MNIST_0.006_3901.out,MNIST,prune_0.3,100,0.006,abc,1,0
MNIST_0.004_7229.out,MNIST,prune_0.7,30,0.004,abc,29,1
MNIST_0.008_7332.out,MNIST,prune_0.7,40,0.008,abc,32,0
MNIST_0.007_4092.out,MNIST,prune_0.4,10,0.007,abc,92,0
MNIST_0.004_1561.out,MNIST,prune_0.1,60,0.004,abc,61,1
MNIST_0.008_2684.out,MNIST,prune_0.2,70,0.008,abc,84,0
MNIST_0.006_5381.out,MNIST,prune_0.5,40,0.006,abc,81,1
MNIST_0.008_1620.out,MNIST,prune_0.1,70,0.008,abc,20,0
MNIST_0.007_3985.out,MNIST,prune_0.3,100,0.007,abc,85,1
MNIST_0.005_3950.out,MNIST,prune_0.3,100,0.005,abc,50,1
MNIST_0.009_4879.out,MNIST,prune_0.4,90,0.009,abc,79,0
MNIST_0.007_8349.out,MNIST,prune_0.8,40,0.007,abc,49,0
MNIST_0.009_2768.out,MNIST,prune_0.2,80,0.009,abc,68,0
MNIST_0.004_5040.out,MNIST,prune_0.5,10,0.004,abc,40,1
MNIST_0.004_7791.out,MNIST,prune_0.7,80,0.004,abc,91,1
MNIST_0.006_2935.out,MNIST,prune_0.2,100,0.006,abc,35,1
MNIST_0.009_1872.out,MNIST,prune_0.1,90,0.009,abc,72,1
MNIST_0.009_8267.out,MNIST,prune_0.8,30,0.009,abc,67,0
MNIST_0.006_2894.out,MNIST,prune_0.2,90,0.006,abc,94,1
MNIST_0.006_8998.out,MNIST,prune_0.8,100,0.006,abc,98,1
MNIST_0.010_7397.out,,,,,,,0
MNIST_0.005_211.out,MNIST,baseline,30,0.005,abc,11,1
MNIST_0.009_3588.out,MNIST,prune_0.3,60,0.009,abc,88,1
MNIST_0.006_4231.out,MNIST,prune_0.4,30,0.006,abc,31,0
MNIST_0.005_6296.out,MNIST,prune_0.6,30,0.005,abc,96,1
MNIST_0.008_3401.out,MNIST,prune_0.3,50,0.008,abc,1,0
MNIST_0.006_260.out,MNIST,baseline,30,0.006,abc,60,1
MNIST_0.010_5260.out,MNIST,prune_0.5,30,0.01,abc,60,0
MNIST_0.009_5439.out,MNIST,prune_0.5,50,0.009,abc,39,0
MNIST_0.006_3343.out,MNIST,prune_0.3,40,0.006,abc,43,0
MNIST_0.007_5236.out,MNIST,prune_0.5,30,0.007,abc,36,1
MNIST_0.008_7558.out,MNIST,prune_0.7,60,0.008,abc,58,0
MNIST_0.010_6360.out,MNIST,prune_0.6,40,0.01,abc,60,0
MNIST_0.007_4678.out,MNIST,prune_0.4,70,0.007,abc,78,0
MNIST_0.010_7561.out,,,,,,,0
MNIST_0.010_8198.out,,,,,,,0
MNIST_0.010_451.out,MNIST,baseline,50,0.01,abc,51,0
MNIST_0.007_3745.out,MNIST,prune_0.3,80,0.007,abc,45,0
MNIST_0.006_1497.out,MNIST,prune_0.1,50,0.006,abc,97,1
MNIST_0.010_2932.out,MNIST,prune_0.2,100,0.01,abc,32,0
MNIST_0.009_7659.out,MNIST,prune_0.7,70,0.009,abc,59,0
MNIST_0.008_8382.out,MNIST,prune_0.8,40,0.008,abc,82,0
MNIST_0.010_8124.out,,,,,,,0
MNIST_0.010_1032.out,MNIST,prune_0.1,10,0.01,abc,32,0
MNIST_0.005_6916.out,MNIST,prune_0.6,100,0.005,abc,16,1
MNIST_0.007_7921.out,MNIST,prune_0.7,100,0.007,abc,21,0
MNIST_0.006_1892.out,MNIST,prune_0.1,90,0.006,abc,92,1
MNIST_0.010_5909.out,,,,,,,0
MNIST_0.006_8298.out,MNIST,prune_0.8,30,0.006,abc,98,1
MNIST_0.008_5007.out,MNIST,prune_0.5,10,0.008,abc,7,0
MNIST_0.010_5428.out,,,,,,,0
MNIST_0.008_7167.out,MNIST,prune_0.7,20,0.008,abc,67,0
MNIST_0.006_4723.out,MNIST,prune_0.4,80,0.006,abc,23,1
MNIST_0.004_1651.out,MNIST,prune_0.1,70,0.004,abc,51,1
MNIST_0.004_7697.out,MNIST,prune_0.7,70,0.004,abc,97,1
MNIST_0.004_238.out,MNIST,baseline,30,0.004,abc,38,1
MNIST_0.004_4418.out,MNIST,prune_0.4,50,0.004,abc,18,0
MNIST_0.010_5676.out,MNIST,prune_0.5,70,0.01,abc,76,0
MNIST_0.007_8561.out,MNIST,prune_0.8,60,0.007,abc,61,1
MNIST_0.010_1825.out,MNIST,prune_0.1,90,0.01,abc,25,0
MNIST_0.008_7341.out,MNIST,prune_0.7,40,0.008,abc,41,0
MNIST_0.006_7042.out,MNIST,prune_0.7,10,0.006,abc,42,1
MNIST_0.004_3210.out,MNIST,prune_0.3,30,0.004,abc,10,1
MNIST_0.008_876.out,MNIST,baseline,90,0.008,abc,76,0
MNIST_0.010_2967.out,MNIST,prune_0.2,100,0.01,abc,67,0
MNIST_0.006_721.out,MNIST,baseline,80,0.006,abc,21,0
MNIST_0.006_5379.out,MNIST,prune_0.5,40,0.006,abc,79,1
MNIST_0.008_1511.out,MNIST,prune_0.1,60,0.008,abc,11,0
MNIST_0.008_825.out,MNIST,baseline,90,0.008,abc,25,1
MNIST_0.008_7924.out,MNIST,prune_0.7,100,0.008,abc,24,0
MNIST_0.006_4906.out,MNIST,prune_0.4,100,0.006,abc,6,1
MNIST_0.007_435.out,MNIST,baseline,50,0.007,abc,35,0
MNIST_0.009_2357.out,MNIST,prune_0.2,40,0.009,abc,57,0
MNIST_0.007_5726.out,MNIST,prune_0.5,80,0.007,abc,26,0
MNIST_0.005_886.out,MNIST,baseline,90,0.005,abc,86,1
MNIST_0.010_3163.out,MNIST,prune_0.3,20,0.01,abc,63,0
MNIST_0.007_2641.out,MNIST,prune_0.2,70,0.007,abc,41,0
MNIST_0.009_5685.out,MNIST,prune_0.5,70,0.009,abc,85,0
MNIST_0.005_3636.out,MNIST,prune_0.3,70,0.005,abc,36,1
MNIST_0.007_468.out,MNIST,baseline,50,0.007,abc,68,0
MNIST_0.004_3345.out,MNIST,prune_0.3,40,0.004,abc,45,1
MNIST_0.009_286.out,MNIST,baseline,30,0.009,abc,86,0
MNIST_0.010_5727.out,,,,,,,0
MNIST_0.006_2261.out,MNIST,prune_0.2,30,0.006,abc,61,1
MNIST_0.006_8243.out,MNIST,prune_0.8,30,0.006,abc,43,0
MNIST_0.008_5104.out,MNIST,prune_0.5,20,0.008,abc,4,0
MNIST_0.006_1680.out,MNIST,prune_0.1,70,0.006,abc,80,0
MNIST_0.009_1715.out,MNIST,prune_0.1,80,0.009,abc,15,0
MNIST_0.008_2110.out,MNIST,prune_0.2,20,0.008,abc,10,0
MNIST_0.010_121.out,MNIST,baseline,20,0.01,abc,21,0
MNIST_0.007_5250.out,MNIST,prune_0.5,30,0.007,abc,50,0
MNIST_0.009_1913.out,MNIST,prune_0.1,100,0.009,abc,13,0
MNIST_0.006_5212.out,MNIST,prune_0.5,30,0.006,abc,12,1
MNIST_0.008_8548.out,MNIST,prune_0.8,60,0.008,abc,48,0
MNIST_0.008_846.out,MNIST,baseline,90,0.008,abc,46,0
MNIST_0.005_4558.out,MNIST,prune_0.4,60,0.005,abc,58,1
MNIST_0.007_2269.out,MNIST,prune_0.2,30,0.007,abc,69,1
MNIST_0.010_7844.out,,,,,,,0
MNIST_0.004_6854.out,MNIST,prune_0.6,90,0.004,abc,54,1
MNIST_0.005_7184.out,MNIST,prune_0.7,20,0.005,abc,84,1
MNIST_0.007_3802.out,MNIST,prune_0.3,90,0.007,abc,2,0
MNIST_0.008_430.out,MNIST,baseline,50,0.008,abc,30,0
MNIST_0.010_3622.out,MNIST,prune_0.3,70,0.01,abc,22,0
MNIST_0.004_6584.out,MNIST,prune_0.6,60,0.004,abc,84,1
MNIST_0.007_830.out,MNIST,baseline,90,0.007,abc,30,0
MNIST_0.009_3592.out,MNIST,prune_0.3,60,0.009,abc,92,0
MNIST_0.010_4266.out,MNIST,prune_0.4,30,0.01,abc,66,0
MNIST_0.007_7828.out,MNIST,prune_0.7,90,0.007,abc,28,1
MNIST_0.004_5316.out,MNIST,prune_0.5,40,0.004,abc,16,1
MNIST_0.008_8260.out,MNIST,prune_0.8,30,0.008,abc,60,0
MNIST_0.007_5017.out,MNIST,prune_0.5,10,0.007,abc,17,1
MNIST_0.009_6228.out,MNIST,prune_0.6,30,0.009,abc,28,1
MNIST_0.004_7891.out,MNIST,prune_0.7,90,0.004,abc,91,1
MNIST_0.008_5524.out,MNIST,prune_0.5,60,0.008,abc,24,0
MNIST_0.006_5405.out,MNIST,prune_0.5,50,0.006,abc,5,1
MNIST_0.007_4315.out,MNIST,prune_0.4,40,0.007,abc,15,0
MNIST_0.006_395.out,MNIST,baseline,40,0.006,abc,95,1
MNIST_0.007_4789.out,MNIST,prune_0.4,80,0.007,abc,89,0
MNIST_0.006_4461.out,MNIST,prune_0.4,50,0.006,abc,61,1
MNIST_0.006_8967.out,MNIST,prune_0.8,100,0.006,abc,67,0
MNIST_0.010_263.out,MNIST,baseline,30,0.01,abc,63,0
MNIST_0.010_5050.out,,,,,,,0
MNIST_0.010_1584.out,MNIST,prune_0.1,60,0.01,abc,84,0
MNIST_0.006_7975.out,MNIST,prune_0.7,100,0.006,abc,75,1
MNIST_0.006_8979.out,MNIST,prune_0.8,100,0.006,abc,79,0
MNIST_0.005_8090.out,MNIST,prune_0.8,10,0.005,abc,90,1
MNIST_0.008_1999.out,MNIST,prune_0.1,100,0.008,abc,99,1
MNIST_0.006_915.out,MNIST,baseline,100,0.006,abc,15,1
MNIST_0.008_1185.out,MNIST,prune_0.1,20,0.008,abc,85,0
MNIST_0.008_3063.out,MNIST,prune_0.3,10,0.008,abc,63,0
