prune_type,accuracy_avg,accuracy_std
baseline,0.99468,0.0005652924513520111
prune0.1,0.9943899999999999,0.0002998147576235866
prune0.2,0.99429,0.00018529256146253926
prune0.3,0.99445,0.0002460803843372456
prune0.4,0.99444,0.00025905812303637926
prune0.5,0.9942499999999999,0.0003374742788553014
prune0.6,0.9941599999999999,0.00020655911179774325
prune0.7,0.99421,0.0002131770260709134
prune0.8,0.9943,0.00038005847503307945
