model_type,prune_type,seed,accuracy,zero_weight_percentage
resnet4,prune_0.4,60,0.9942,39.36602406520895
resnet4,prune_0.4,70,0.9945,39.36602406520895
resnet4,prune_0.4,80,0.9945,39.36602406520895
resnet4,prune_0.4,90,0.9944,39.36602406520895
resnet4,prune_0.4,100,0.9946,39.36602406520895
resnet6,prune_0.4,10,0.9941,39.60826050742362
resnet6,prune_0.4,20,0.9958,39.60826050742362
resnet6,prune_0.4,30,0.9946,39.60826050742362
resnet6,prune_0.4,40,0.9957,39.60826050742362
resnet6,prune_0.4,50,0.9959,39.60826050742362
resnet6,prune_0.4,60,0.9958,39.60826050742362
resnet6,prune_0.4,70,0.9952,39.60826050742362
resnet6,prune_0.4,80,0.9942,39.60826050742362
resnet6,prune_0.4,90,0.9956,39.60826050742362
resnet6,prune_0.4,100,0.9952,39.60826050742362
resnet8,prune_0.4,10,0.9953,39.69137611094834
resnet8,prune_0.4,20,0.9945,39.69137611094834
resnet8,prune_0.4,30,0.9944,39.69137611094834
resnet8,prune_0.4,40,0.9958,39.69137611094834
resnet8,prune_0.4,50,0.9957,39.69137611094834
resnet8,prune_0.4,60,0.994,39.69137611094834
resnet8,prune_0.4,70,0.9947,39.69137611094834
resnet8,prune_0.4,80,0.9955,39.69137611094834
resnet8,prune_0.4,90,0.9945,39.69137611094834
resnet8,prune_0.4,100,0.9955,39.69137611094834
resnet4,prune_0.5,10,0.994,49.20688316729201
resnet4,prune_0.5,20,0.9943,49.20688316729201
resnet4,prune_0.5,30,0.9941,49.20688316729201
resnet4,prune_0.5,40,0.9943,49.20688316729201
resnet4,prune_0.5,50,0.994,49.20688316729201
resnet4,prune_0.5,60,0.994,49.20688316729201
resnet4,prune_0.5,70,0.9943,49.20688316729201
resnet4,prune_0.5,80,0.9944,49.20688316729201
resnet4,prune_0.5,90,0.994,49.20688316729201
resnet4,prune_0.5,100,0.9951,49.20688316729201
resnet6,prune_0.5,10,0.9949,49.51016037124688
resnet6,prune_0.5,20,0.9959,49.51016037124688
resnet6,prune_0.5,30,0.9954,49.51016037124688
resnet6,prune_0.5,40,0.9961,49.51016037124688
resnet6,prune_0.5,50,0.9957,49.51016037124688
resnet6,prune_0.5,60,0.9954,49.51016037124688
resnet6,prune_0.5,70,0.996,49.51016037124688
resnet6,prune_0.5,80,0.9951,49.51016037124688
resnet6,prune_0.5,90,0.9959,49.51016037124688
resnet6,prune_0.5,100,0.9949,49.51016037124688
resnet8,prune_0.5,10,0.9956,49.61422013868542
resnet8,prune_0.5,20,0.9945,49.61422013868542
resnet8,prune_0.5,30,0.995,49.61422013868542
resnet8,prune_0.5,40,0.9961,49.61422013868542
resnet8,prune_0.5,50,0.9963,49.61422013868542
resnet8,prune_0.5,60,0.9946,49.61422013868542
resnet8,prune_0.5,70,0.9956,49.61422013868542
resnet8,prune_0.5,80,0.996,49.61422013868542
resnet8,prune_0.5,90,0.995,49.61422013868542
resnet8,prune_0.5,100,0.9956,49.61422013868542
resnet4,prune_0.6,10,0.994,59.04774226937508
resnet4,prune_0.6,20,0.9941,59.04774226937508
resnet4,prune_0.6,30,0.9941,59.04774226937508
resnet4,prune_0.6,40,0.994,59.04774226937508
resnet4,prune_0.6,50,0.9941,59.04774226937508
resnet4,prune_0.6,60,0.994,59.04774226937508
resnet4,prune_0.6,70,0.9944,59.04774226937508
resnet4,prune_0.6,80,0.9943,59.04774226937508
resnet4,prune_0.6,90,0.9946,59.04774226937508
resnet4,prune_0.6,100,0.994,59.04774226937508
resnet6,prune_0.6,10,0.9952,59.41206023507013
resnet6,prune_0.6,20,0.9955,59.41206023507013
resnet6,prune_0.6,30,0.9943,59.41206023507013
resnet6,prune_0.6,40,0.9966,59.41206023507013
resnet6,prune_0.6,50,0.9959,59.41206023507013
resnet6,prune_0.6,60,0.9949,59.41206023507013
resnet6,prune_0.6,70,0.9957,59.41206023507013
resnet6,prune_0.6,80,0.9949,59.41206023507013
resnet6,prune_0.6,90,0.9953,59.41206023507013
resnet6,prune_0.6,100,0.9954,59.41206023507013
resnet8,prune_0.6,10,0.9962,59.5370641664225
resnet8,prune_0.6,20,0.9952,59.5370641664225
resnet8,prune_0.6,30,0.9952,59.5370641664225
resnet8,prune_0.6,40,0.9957,59.5370641664225
resnet8,prune_0.6,50,0.9964,59.5370641664225
resnet8,prune_0.6,60,0.9953,59.5370641664225
resnet8,prune_0.6,70,0.9945,59.5370641664225
resnet8,prune_0.6,80,0.9963,59.5370641664225
resnet8,prune_0.6,90,0.9952,59.5370641664225
resnet8,prune_0.6,100,0.9953,59.5370641664225
resnet4,prune_0.7,10,0.9943,68.8898951998965
resnet4,prune_0.7,20,0.994,68.8898951998965
resnet4,prune_0.7,30,0.994,68.8898951998965
resnet4,prune_0.7,40,0.994,68.8898951998965
resnet4,prune_0.7,50,0.9945,68.8898951998965
resnet4,prune_0.7,60,0.9944,68.8898951998965
resnet4,prune_0.7,70,0.994,68.8898951998965
resnet4,prune_0.7,80,0.9941,68.8898951998965
resnet4,prune_0.7,90,0.9945,68.8898951998965
resnet4,prune_0.7,100,0.9943,68.8898951998965
resnet6,prune_0.7,10,0.9951,69.3139600988934
resnet6,prune_0.7,20,0.9957,69.3139600988934
resnet6,prune_0.7,30,0.9944,69.3139600988934
resnet6,prune_0.7,40,0.9964,69.3139600988934
resnet6,prune_0.7,50,0.9947,69.3139600988934
resnet6,prune_0.7,60,0.9956,69.3139600988934
resnet6,prune_0.7,70,0.996,69.3139600988934
resnet6,prune_0.7,80,0.9954,69.3139600988934
resnet6,prune_0.7,90,0.9955,69.3139600988934
resnet6,prune_0.7,100,0.9955,69.3139600988934
resnet8,prune_0.7,10,0.9965,69.4599081941596
resnet8,prune_0.7,20,0.9952,69.4599081941596
resnet8,prune_0.7,30,0.9951,69.4599081941596
resnet8,prune_0.7,40,0.9954,69.4599081941596
resnet8,prune_0.7,50,0.9968,69.4599081941596
resnet8,prune_0.7,60,0.9949,69.4599081941596
resnet8,prune_0.7,70,0.9949,69.4599081941596
resnet8,prune_0.7,80,0.9956,69.4599081941596
resnet8,prune_0.7,90,0.9953,69.4599081941596
