model_type,accuracy_avg,accuracy_std
baseline,0.9933799999999999,0.0005072803301266094
prune_0.1,0.9935700000000001,0.0005558776843875103
prune_0.2,0.9934799999999999,0.0004685675570881695
prune_0.3,0.9937400000000001,0.000521109926556331
prune_0.4,0.9938499999999999,0.00045521667612493586
prune_0.5,0.99382,0.0005370702416299532
prune_0.6,0.99384,0.0004718756898449909
prune_0.7,0.99344,0.0003306559138036655
prune_0.8,0.9932700000000001,0.000352924291535094
