,dataset,epsilon,correlation
0,JPL,0.0003,0.7576470678417196
1,JPL,0.0005,0.47400112926834365
2,JPL,0.0006,0.41432128275119945
3,JPL,0.0007,0.4547354416755976
4,JPL,0.0008,0.5758867171176113
5,JPL,0.0009,0.7331414395964796
6,MNIST,0.006,0.9863656711916335
7,MNIST,0.007,0.9848052682077421
8,MNIST,0.008,0.9625449875813361
