dataset,pruning,seed,epsilon,property_group,result
JPL,prune0.2,40.0,0.0006,0-49,15
JPL,prune0.2,40.0,0.0006,50-99,37
JPL,prune0.2,40.0,0.0007,0-49,9
JPL,prune0.2,40.0,0.0007,50-99,36
JPL,prune0.2,40.0,0.0008,0-49,8
JPL,prune0.2,40.0,0.0008,50-99,36
JPL,prune0.2,40.0,0.0009,0-49,4
JPL,prune0.2,40.0,0.0009,50-99,36
JPL,prune0.2,50.0,0.0003,0-49,35
JPL,prune0.2,50.0,0.0003,50-99,38
JPL,prune0.2,50.0,0.0005,0-49,25
JPL,prune0.2,50.0,0.0005,50-99,37
JPL,prune0.2,50.0,0.0006,0-49,22
JPL,prune0.2,50.0,0.0006,50-99,36
JPL,prune0.2,50.0,0.0007,0-49,15
JPL,prune0.2,50.0,0.0007,50-99,35
JPL,prune0.2,50.0,0.0008,0-49,11
JPL,prune0.2,50.0,0.0008,50-99,33
JPL,prune0.2,50.0,0.0009,0-49,4
JPL,prune0.2,50.0,0.0009,50-99,25
JPL,prune0.2,60.0,0.0003,0-49,45
JPL,prune0.2,60.0,0.0003,50-99,42
JPL,prune0.2,60.0,0.0005,0-49,40
JPL,prune0.2,60.0,0.0005,50-99,38
JPL,prune0.2,60.0,0.0006,0-49,35
JPL,prune0.2,60.0,0.0006,50-99,38
JPL,prune0.2,60.0,0.0007,0-49,30
JPL,prune0.2,60.0,0.0007,50-99,37
JPL,prune0.2,60.0,0.0008,0-49,19
JPL,prune0.2,60.0,0.0008,50-99,36
JPL,prune0.2,60.0,0.0009,0-49,12
JPL,prune0.2,60.0,0.0009,50-99,35
JPL,prune0.2,70.0,0.0003,0-49,42
JPL,prune0.2,70.0,0.0003,50-99,42
JPL,prune0.2,70.0,0.0005,0-49,40
JPL,prune0.2,70.0,0.0005,50-99,37
JPL,prune0.2,70.0,0.0006,0-49,34
JPL,prune0.2,70.0,0.0006,50-99,38
JPL,prune0.2,70.0,0.0007,0-49,26
JPL,prune0.2,70.0,0.0007,50-99,37
JPL,prune0.2,70.0,0.0008,0-49,19
JPL,prune0.2,70.0,0.0008,50-99,35
JPL,prune0.2,70.0,0.0009,0-49,14
JPL,prune0.2,70.0,0.0009,50-99,32
JPL,prune0.2,80.0,0.0003,0-49,41
JPL,prune0.2,80.0,0.0003,50-99,41
JPL,prune0.2,80.0,0.0005,0-49,37
JPL,prune0.2,80.0,0.0005,50-99,38
JPL,prune0.2,80.0,0.0006,0-49,31
JPL,prune0.2,80.0,0.0006,50-99,37
JPL,prune0.2,80.0,0.0007,0-49,25
JPL,prune0.2,80.0,0.0007,50-99,37
JPL,prune0.2,80.0,0.0008,0-49,20
JPL,prune0.2,80.0,0.0008,50-99,36
JPL,prune0.2,80.0,0.0009,0-49,14
JPL,prune0.2,80.0,0.0009,50-99,36
JPL,prune0.2,90.0,0.0003,0-49,34
JPL,prune0.2,90.0,0.0003,50-99,37
