dataset,pruning,seed,epsilon,result
MNIST,prune0.2,10,0.008,42
MNIST,prune0.2,100,0.008,8
MNIST,prune0.2,20,0.008,0
MNIST,prune0.2,30,0.008,7
MNIST,prune0.2,40,0.008,13
MNIST,prune0.2,50,0.008,7
MNIST,prune0.2,60,0.008,21
MNIST,prune0.2,70,0.008,0
MNIST,prune0.2,80,0.008,0
MNIST,prune0.2,90,0.008,20
MNIST,prune0.3,10,0.008,47
MNIST,prune0.3,100,0.008,16
MNIST,prune0.3,20,0.008,7
MNIST,prune0.3,30,0.008,52
MNIST,prune0.3,40,0.008,24
MNIST,prune0.3,50,0.008,8
MNIST,prune0.3,60,0.008,24
MNIST,prune0.3,70,0.008,0
MNIST,prune0.3,80,0.008,0
MNIST,prune0.3,90,0.008,25
MNIST,prune0.4,10,0.008,47
MNIST,prune0.4,100,0.008,39
MNIST,prune0.4,20,0.008,8
MNIST,prune0.4,30,0.008,20
MNIST,prune0.4,40,0.008,28
MNIST,prune0.4,50,0.008,3
MNIST,prune0.4,60,0.008,80
MNIST,prune0.4,70,0.008,6
MNIST,prune0.4,80,0.008,0
MNIST,prune0.4,90,0.008,20
MNIST,prune0.5,10,0.008,47
MNIST,prune0.5,100,0.008,9
MNIST,prune0.5,20,0.008,2
MNIST,prune0.5,30,0.008,44
MNIST,prune0.5,40,0.008,24
MNIST,prune0.5,50,0.008,4
MNIST,prune0.5,60,0.008,55
MNIST,prune0.5,70,0.008,4
MNIST,prune0.5,80,0.008,1
MNIST,prune0.5,90,0.008,7
MNIST,prune0.6,10,0.008,35
MNIST,prune0.6,100,0.008,4
MNIST,prune0.6,20,0.008,14
MNIST,prune0.6,30,0.008,33
MNIST,prune0.6,40,0.008,0
MNIST,prune0.6,50,0.008,3
MNIST,prune0.6,60,0.008,48
MNIST,prune0.6,70,0.008,1
MNIST,prune0.6,80,0.008,0
MNIST,prune0.6,90,0.008,17
MNIST,prune0.7,10,0.008,20
MNIST,prune0.7,100,0.008,0
MNIST,prune0.7,20,0.008,8
MNIST,prune0.7,30,0.008,30
MNIST,prune0.7,40,0.008,2
MNIST,prune0.7,50,0.008,7
MNIST,prune0.7,60,0.008,39
MNIST,prune0.7,70,0.008,0
MNIST,prune0.7,80,0.008,0
MNIST,prune0.7,90,0.008,2
MNIST,prune0.8,10,0.008,2
MNIST,prune0.8,100,0.008,3
MNIST,prune0.8,20,0.008,0
MNIST,prune0.8,30,0.008,0
MNIST,prune0.8,40,0.008,0
MNIST,prune0.8,50,0.008,1
MNIST,prune0.8,60,0.008,14
MNIST,prune0.8,70,0.008,0
MNIST,prune0.8,80,0.008,1
MNIST,prune0.8,90,0.008,0
