dataset,pruning,seed,epsilon,result
JPL,prune0.7,90,0.0005,69
JPL,prune0.8,10,0.0005,67
JPL,prune0.8,100,0.0005,70
JPL,prune0.8,20,0.0005,62
JPL,prune0.8,30,0.0005,81
JPL,prune0.8,40,0.0005,71
JPL,prune0.8,50,0.0005,77
JPL,prune0.8,60,0.0005,73
JPL,prune0.8,70,0.0005,73
JPL,prune0.8,80,0.0005,70
JPL,prune0.8,90,0.0005,67
JPL,baseline,10,0.0006,63
JPL,baseline,100,0.0006,54
JPL,baseline,20,0.0006,60
JPL,baseline,30,0.0006,62
JPL,baseline,40,0.0006,51
JPL,baseline,50,0.0006,63
JPL,baseline,60,0.0006,70
JPL,baseline,70,0.0006,65
JPL,baseline,80,0.0006,68
JPL,baseline,90,0.0006,65
JPL,prune0.1,10,0.0006,61
JPL,prune0.1,100,0.0006,55
JPL,prune0.1,20,0.0006,60
JPL,prune0.1,30,0.0006,60
JPL,prune0.1,40,0.0006,53
JPL,prune0.1,50,0.0006,57
JPL,prune0.1,60,0.0006,69
JPL,prune0.1,70,0.0006,68
JPL,prune0.1,80,0.0006,70
JPL,prune0.1,90,0.0006,56
JPL,prune0.2,10,0.0006,58
JPL,prune0.2,100,0.0006,68
JPL,prune0.2,20,0.0006,61
JPL,prune0.2,30,0.0006,62
JPL,prune0.2,40,0.0006,52
JPL,prune0.2,50,0.0006,58
JPL,prune0.2,60,0.0006,73
JPL,prune0.2,70,0.0006,72
JPL,prune0.2,80,0.0006,68
JPL,prune0.2,90,0.0006,57
JPL,prune0.3,10,0.0006,58
JPL,prune0.3,100,0.0006,68
JPL,prune0.3,20,0.0006,61
JPL,prune0.3,30,0.0006,62
JPL,prune0.3,40,0.0006,51
JPL,prune0.3,50,0.0006,60
JPL,prune0.3,60,0.0006,72
JPL,prune0.3,70,0.0006,73
JPL,prune0.3,80,0.0006,69
JPL,prune0.3,90,0.0006,60
JPL,prune0.4,10,0.0006,61
JPL,prune0.4,100,0.0006,56
JPL,prune0.4,20,0.0006,59
JPL,prune0.4,30,0.0006,63
JPL,prune0.4,40,0.0006,63
JPL,prune0.4,50,0.0006,60
JPL,prune0.4,60,0.0006,71
JPL,prune0.4,70,0.0006,73
JPL,prune0.4,80,0.0006,66
JPL,prune0.4,90,0.0006,61
JPL,prune0.5,10,0.0006,61
JPL,prune0.5,100,0.0006,56
JPL,prune0.5,20,0.0006,53
JPL,prune0.5,30,0.0006,69
JPL,prune0.5,40,0.0006,63
JPL,prune0.5,50,0.0006,62
JPL,prune0.5,60,0.0006,70
JPL,prune0.5,70,0.0006,63
JPL,prune0.5,80,0.0006,65
JPL,prune0.5,90,0.0006,60
JPL,prune0.6,10,0.0006,63
JPL,prune0.6,100,0.0006,64
JPL,prune0.6,20,0.0006,50
JPL,prune0.6,30,0.0006,66
JPL,prune0.6,40,0.0006,63
JPL,prune0.6,50,0.0006,62
JPL,prune0.6,60,0.0006,69
JPL,prune0.6,70,0.0006,72
JPL,prune0.6,80,0.0006,66
JPL,prune0.6,90,0.0006,67
JPL,prune0.7,10,0.0006,62
JPL,prune0.7,100,0.0006,64
JPL,prune0.7,20,0.0006,65
